date,published_at,source,stock,keyword,title,summary,url,is_sector_news
2024-10-04,04 Oktober 2024,Kontan,BBRI,emiten BBRI,"Cek Saham Bank Indeks LQ45 saat IHSG Turun Jumat (4/1), Ada BBRI, BMRI, dan BBNI",,https://investasi.kontan.co.id/news/cek-saham-bank-indeks-lq45-saat-ihsg-turun-jumat-41-ada-bbri-bmri-dan-bbni,0
2024-10-05,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,"Jelang Lengser, Kekhawatiran Jokowi Ini Semakin Nyata",,https://www.cnbcindonesia.com/market/20241005092707-17-577182/jelang-lengser-kekhawatiran-jokowi-ini-semakin-nyata,1
2024-10-08,1 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,Bos BRI (BBRI) Ungkap Kapan Pangkas Suku Bunga Kredit & Deposito,,https://www.cnbcindonesia.com/market/20241008143732-17-577904/bos-bri--bbri--ungkap-kapan-pangkas-suku-bunga-kredit-deposito,0
2024-10-08,08 Oktober 2024,Kontan,BBCA,NPL,"Tertekan Beban Hidup, Kemampuan Cicil Nasabah Ritel Menurun",,https://keuangan.kontan.co.id/news/tertekan-beban-hidup-kemampuan-cicil-nasabah-ritel-menurun,1
2024-10-08,1 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,Cerita BRI Restrukturisasi Utang Garuda dan Waskita,,https://www.cnbcindonesia.com/market/20241008161710-17-577960/cerita-bri-restrukturisasi-utang-garuda-dan-waskita,0
2024-10-08,08 Oktober 2024,Kontan,BBCA,emiten BBCA,"Cek Saham Perbankan LQ45 pada Bursa Hari Selasa (8/10), Ada BBCA, BMRI, dan BBCA",,https://investasi.kontan.co.id/news/cek-saham-perbankan-lq45-pada-bursa-hari-selasa-810-ada-bbca-bmri-dan-bbca,0
2024-10-09,09 Oktober 2024,Kontan,BBCA,NPL,"Kemampuan Mencicil Nasabah Ritel Turun, Ini Alasannya",,https://keuangan.kontan.co.id/news/kemampuan-mencicil-nasabah-ritel-turun-ini-alasannya,1
2024-10-09,09 Oktober 2024,Kontan,BBCA,NPL,Nasabah Ritel Kesulitan Cicil Utang di Bank,,https://insight.kontan.co.id/news/nasabah-ritel-kesulitan-cicil-utang-di-bank,1
2024-10-09,09 Oktober 2024,Kontan,BBRI,Bank Rakyat Indonesia,"Transaksi AgenBRILink Tumbuh 12,81% Jadi Rp 1.037 Triliun Hingga Agustus 2024",,https://keuangan.kontan.co.id/news/transaksi-agenbrilink-tumbuh-1281-jadi-rp-1037-triliun-hingga-agustus-2024,0
2024-10-10,10 Oktober 2024,Kontan,BBCA,Bank Central Asia,BCA Resmikan Kantor Cabang Pembantu Kas Mayang di Jambi,,https://keuangan.kontan.co.id/news/bca-resmikan-kantor-cabang-pembantu-kas-mayang-di-jambi,0
2024-10-10,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,"Video: Saham Perbankan Big Caps Semringah, Prospek Masih Cerah?",,https://www.cnbcindonesia.com/market/20241010183618-19-578654/video-saham-perbankan-big-caps-semringah-prospek-masih-cerah,1
2024-10-10,10 Oktober 2024,Kontan,BBCA,Bank Central Asia,Ini Daftar Emiten Peraih Penghargaan ARA 2023,,https://investasi.kontan.co.id/news/ini-daftar-emiten-peraih-penghargaan-ara-2023,0
2024-10-11,1 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Aturan Terbaru Biaya Admin Bulanan Bank Mandiri, BRI, BCA dan BNI",,https://www.cnbcindonesia.com/market/20241011072321-17-578728/aturan-terbaru-biaya-admin-bulanan-bank-mandiri-bri-bca-dan-bni,0
2024-10-11,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Lo Kheng Hong Buka-Bukaan Dua Sektor Saham Favorit Untuk Investasi,,https://www.cnbcindonesia.com/market/20241011080925-17-578738/lo-kheng-hong-buka-bukaan-dua-sektor-saham-favorit-untuk-investasi,1
2024-10-11,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Siap-Siap! Bank Bakal Panen Cuan di Era Prabowo,,https://www.cnbcindonesia.com/market/20241011172856-17-578976/siap-siap-bank-bakal-panen-cuan-di-era-prabowo,1
2024-10-11,1 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,"Buah Transformasi, Laba Bank BUMN Terbang ke Langit",,https://www.cnbcindonesia.com/market/20241011131407-17-578868/buah-transformasi-laba-bank-bumn-terbang-ke-langit,0
2024-10-12,12 Oktober 2024,Kontan,BBCA,NPL,"NPL Meningkat, Bank Digital Perkuat Strategi Risiko Kredit",,https://keuangan.kontan.co.id/news/npl-meningkat-bank-digital-perkuat-strategi-risiko-kredit,1
2024-10-13,1 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Cek Aturan Terbaru Saldo Minimal Bank BCA, Mandiri, BRI, dan BNI",,https://www.cnbcindonesia.com/market/20241013170915-17-579209/cek-aturan-terbaru-saldo-minimal-bank-bca-mandiri-bri-dan-bni,0
2024-10-14,1 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,Video: Siap-Siap! Ada 100 Ribu Hadiah di Brimo Festival 2024,,https://www.cnbcindonesia.com/news/20241014142224-8-579423/video-siap-siap-ada-100-ribu-hadiah-di-brimo-festival-2024,0
2024-10-15,15 Oktober 2024,Kontan,BBCA,emiten BBCA,"IHSG Menguat, Saham-Saham Emiten Tambang Ini Banyak Diburu Asing, Senin (14/10)",,https://investasi.kontan.co.id/news/ihsg-menguat-saham-saham-emiten-tambang-ini-banyak-diburu-asing-senin-1410,0
2024-10-16,16 Oktober 2024,Kontan,BBCA,NPL,"Mengupas Tren Bisnis Baru Resi Gudang, akan Bergairah Saat Makan Bergizi Gratis Jalan",,https://insight.kontan.co.id/news/mengupas-tren-bisnis-baru-resi-gudang-akan-bergairah-saat-makan-bergizi-gratis-jalan,1
2024-10-17,17 Oktober 2024,Kontan,BBCA,emiten BBCA,"3 Emiten Bank LQ45 Kompak saat IHSG Naik pada Kamis (17/10), Ada BBCA, BBRI, dan BMRI",,https://investasi.kontan.co.id/news/3-emiten-bank-lq45-kompak-saat-ihsg-naik-pada-kamis-1710-ada-bbca-bbri-dan-bmri,0
2024-10-17,17 Oktober 2024,Kontan,BBCA,Bank Central Asia,Aset Kelolaan Bank Kustodian BCA Tembus Rp 417 Triliun per September 2024,,https://keuangan.kontan.co.id/news/aset-kelolaan-bank-kustodian-bca-tembus-rp-417-triliun-per-september-2024,0
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Intip Kontribusi Perbankan Digital bagi Pertumbuhan Ekonomi RI,,https://www.cnbcindonesia.com/news/20241018184739-4-580942/intip-kontribusi-perbankan-digital-bagi-pertumbuhan-ekonomi-ri,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Top! Direktur Utama BRI Dinobatkan Sebagai CEO of The Year,,https://www.cnbcindonesia.com/news/20241018201029-4-580958/top-direktur-utama-bri-dinobatkan-sebagai-ceo-of-the-year,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,"Video:RI Punya Presiden Baru, Mana Sektor Investasi Layak Koleksi?",,https://www.cnbcindonesia.com/market/20241018152337-19-580851/videori-punya-presiden-baru-mana-sektor-investasi-layak-koleksi,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Bank Maspion Incar Masuk Daftar Top 15 Bank Terbesar di Indonesia,,https://www.cnbcindonesia.com/market/20241018063546-17-580681/bank-maspion-incar-masuk-daftar-top-15-bank-terbesar-di-indonesia,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Bos Besar KBank Buka Suara Soal Caplok Bank Baru di RI,,https://www.cnbcindonesia.com/market/20241018063257-17-580679/bos-besar-kbank-buka-suara-soal-caplok-bank-baru-di-ri,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,NPL,"NPL KPR Makin Bengkak Saat Suku Bunga Turun, Ini Penyebabnya",,https://www.cnbcindonesia.com/market/20241018101729-17-580746/npl-kpr-makin-bengkak-saat-suku-bunga-turun-ini-penyebabnya,1
2024-10-18,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,KBank Bakal Transformasi Bank Maspion ke Standar Internasional,,https://www.cnbcindonesia.com/market/20241018070214-17-580692/kbank-bakal-transformasi-bank-maspion-ke-standar-internasional,1
2024-10-19,1 tahun yang lalu,CNBC Indonesia,BBCA,perbankan,Top! Bank Jateng Raih Penghargaan di Awarding Night ATM Bersama 2024,,https://www.cnbcindonesia.com/news/20241019080851-4-580984/top-bank-jateng-raih-penghargaan-di-awarding-night-atm-bersama-2024,1
2024-10-20,20 Oktober 2024,Kontan,BBCA,Bank Central Asia,"Era Jokowi, BBCA Jadi Emiten Pertama yang Market Cap Tembus Rp 1.000 Triliun",,https://investasi.kontan.co.id/news/era-jokowi-bbca-jadi-emiten-pertama-yang-market-cap-tembus-rp-1000-triliun,0
