step,stock,model,predicted_close,sentiment_assumption,forecast_type
H+1,BBRI,Hybrid LSTM,3472.62,-0.4619,simulation
H+2,BBRI,Hybrid LSTM,3487.24,-0.4619,simulation
H+3,BBRI,Hybrid LSTM,3499.54,-0.4619,simulation
H+4,BBRI,Hybrid LSTM,3509.83,-0.4619,simulation
H+5,BBRI,Hybrid LSTM,3518.49,-0.4619,simulation
H+6,BBRI,Hybrid LSTM,3525.77,-0.4619,simulation
H+7,BBRI,Hybrid LSTM,3531.85,-0.4619,simulation
