,loss,val_loss
0,0.054255276918411255,0.013937976211309433
1,0.015302670188248158,0.005703108850866556
2,0.013149053789675236,0.005061975214630365
3,0.010358885861933231,0.005401112139225006
4,0.008955064229667187,0.00610865605995059
5,0.008379044011235237,0.006149258464574814
6,0.007099831476807594,0.00657212920486927
7,0.00686174351722002,0.006975572556257248
8,0.006776717957109213,0.00691325543448329
9,0.0074675437062978745,0.006755450274795294
10,0.006348939146846533,0.007167045492678881
11,0.006496991030871868,0.006810005754232407
12,0.006483532954007387,0.0066844201646745205
13,0.0058126491494476795,0.006496570538729429
14,0.005827268119901419,0.006226103287190199
15,0.006060176994651556,0.0066118137910962105
16,0.005845753941684961,0.006211110390722752
17,0.005475307814776897,0.0059477356262505054
18,0.00561094144359231,0.005729528609663248
19,0.0052821156568825245,0.005627952981740236
20,0.0056098103523254395,0.0058457753621041775
21,0.005571956280618906,0.005395227577537298
22,0.0051528532058000565,0.005671420134603977
23,0.00469545740634203,0.005249785725027323
24,0.004266239702701569,0.005125405266880989
25,0.005078895483165979,0.0051990230567753315
26,0.004523185547441244,0.005099888890981674
27,0.005042629316449165,0.004770088009536266
28,0.0044057718478143215,0.004684253130108118
29,0.005324237979948521,0.004625243600457907
30,0.00491360854357481,0.00483555207028985
31,0.00547329755499959,0.004716983065009117
32,0.004964148625731468,0.005290377419441938
33,0.004406813066452742,0.004524561110883951
34,0.004429666791111231,0.004357284400612116
35,0.004776934627443552,0.004314763005822897
36,0.004859435372054577,0.00432571629062295
37,0.003917159512639046,0.004228587262332439
38,0.004576108418405056,0.0042122527956962585
39,0.005068280268460512,0.004210751038044691
40,0.004180700518190861,0.004026514943689108
41,0.0041295504197478294,0.004146553110331297
42,0.003851447720080614,0.004075841978192329
43,0.004439304117113352,0.004182662349194288
44,0.004516251385211945,0.003960261587053537
45,0.004315979778766632,0.003943247254937887
46,0.004101930186152458,0.003988215234130621
47,0.004371898248791695,0.0039299712516367435
48,0.004010265227407217,0.003801344195380807
49,0.004404089879244566,0.0037592300213873386
