,loss,val_loss
0,0.04884222522377968,0.010782876051962376
1,0.013379552401602268,0.029909344390034676
2,0.009391430765390396,0.016640692949295044
3,0.007725243456661701,0.006281393580138683
4,0.008295237086713314,0.012429333291947842
5,0.0064826849848032,0.009874030947685242
6,0.0066429623402655125,0.009393016807734966
7,0.005543097387999296,0.008340897038578987
8,0.006292898207902908,0.009416112676262856
9,0.005930915474891663,0.007624173071235418
10,0.005760874133557081,0.007610969245433807
11,0.005440898705273867,0.00720032537356019
12,0.0053968834690749645,0.0076840901747345924
13,0.005076094530522823,0.006004152353852987
14,0.005009767133742571,0.00665938388556242
15,0.005127012263983488,0.007187696639448404
16,0.0058250450529158115,0.00614519789814949
17,0.005556147079914808,0.006600683555006981
18,0.005516790319234133,0.006945262663066387
19,0.006295140367001295,0.005347406025975943
20,0.005415448918938637,0.006001043599098921
21,0.0051083043217659,0.006095958407968283
22,0.004967300686985254,0.005350666586309671
23,0.005329336505383253,0.006503094919025898
24,0.004810766316950321,0.005753278266638517
25,0.004696976393461227,0.006402851082384586
26,0.004664297681301832,0.005657586734741926
27,0.004710169043391943,0.0056512863375246525
28,0.004749100189656019,0.006938476115465164
29,0.004846316296607256,0.004403292667120695
30,0.004540630616247654,0.0070895180106163025
31,0.004615084268152714,0.005434046499431133
32,0.004383901599794626,0.005864643957465887
33,0.0050593349151313305,0.004786902107298374
34,0.004454480484127998,0.005741871427744627
35,0.004426571074873209,0.00540979765355587
36,0.0045083616860210896,0.006872239988297224
37,0.0043869055807590485,0.004788466263562441
38,0.004550568293780088,0.0056797233410179615
39,0.004416820593178272,0.00512236962094903
40,0.004511024337261915,0.005365248303860426
41,0.0048424312844872475,0.006401065271347761
42,0.004613760858774185,0.0047178445383906364
43,0.004653846845030785,0.0053992923349142075
44,0.004505803342908621,0.004886023234575987
45,0.004516693763434887,0.004949713125824928
46,0.00455327657982707,0.005905442871153355
47,0.004538537934422493,0.004224447999149561
48,0.0046128155663609505,0.006326969247311354
49,0.004134684335440397,0.004390840884298086
