date,stock,open,high,low,close,volume,target_close_h1
2023-01-02,BBRI,3631.256856992749,3638.652492139374,3564.6961406731266,3601.67431640625,100200100,3586.8828125
2023-01-03,BBRI,3572.0915431701037,3623.8609858247423,3572.0915431701037,3586.8828125,95136500,3527.717529296875
2023-01-04,BBRI,3586.8826031634894,3586.8826031634894,3527.717529296875,3527.717529296875,188071000,3431.57470703125
2023-01-05,BBRI,3512.926693620353,3520.322328764817,3379.805261020003,3431.57470703125,292142000,3416.782958984375
2023-01-06,BBRI,3365.0135202118845,3431.5742272050866,3365.0135202118845,3416.782958984375,175932000,3394.59619140625
2023-01-09,BBRI,3387.200557002315,3431.574363425926,3365.013653790509,3394.59619140625,166164900,3317.463623046875
2023-01-10,BBRI,3407.327197486068,3422.3044598926003,3302.4863606403437,3317.463623046875,282510000,3280.020263671875
2023-01-11,BBRI,3302.4861558888056,3317.46341736676,3265.043002193921,3280.020263671875,211610100,3369.884033203125
2023-01-12,BBRI,3354.906770833333,3384.861295572917,3302.4863525390624,3369.884033203125,210887800,3354.90673828125
2023-01-13,BBRI,3377.3726316179545,3392.3498938424245,3309.97495160784,3354.90673828125,134592100,3384.861083984375
2023-01-16,BBRI,3317.463407533359,3392.3497147011544,3309.974776816579,3384.861083984375,172170900,3414.81591796875
2023-01-17,BBRI,3384.861392372533,3429.7931807668588,3377.3727609734788,3414.81591796875,150577400,3444.77001953125
2023-01-18,BBRI,3414.8154976222827,3459.7472804857334,3414.8154976222827,3444.77001953125,178026000,3452.258544921875
2023-01-19,BBRI,3437.2812844232985,3467.2358054204515,3429.7926541740103,3452.258544921875,117204100,3482.213623046875
2023-01-20,BBRI,3467.23636015205,3497.1908859417003,3459.747728704637,3482.213623046875,116038300,3459.74755859375
2023-01-24,BBRI,3489.702082910579,3504.6793450689934,3437.281665356128,3459.74755859375,81964700,3414.81591796875
2023-01-25,BBRI,3459.747706363076,3459.747706363076,3407.327286569696,3414.81591796875,84009300,3437.281494140625
2023-01-26,BBRI,3414.815602022059,3459.7473862591914,3407.32697131587,3437.281494140625,113840400,3474.724853515625
2023-01-27,BBRI,3444.7703289163524,3504.679378114897,3444.7703289163524,3474.724853515625,178282600,3452.258544921875
2023-01-30,BBRI,3482.213065919028,3504.6789566668926,3422.304023924722,3452.258544921875,185972400,3429.793212890625
2023-01-31,BBRI,3452.259107298205,3459.747738767399,3422.3045814214315,3429.793212890625,280039200,3504.679443359375
2023-02-01,BBRI,3467.236286913228,3512.1680746486045,3459.7476556239985,3504.679443359375,181849300,3444.77001953125
2023-02-02,BBRI,3482.213171917459,3504.6790633491846,3444.77001953125,3444.77001953125,145413400,3557.099853515625
2023-02-03,BBRI,3482.213540810033,3579.5657473273027,3467.2362782689147,3557.099853515625,198479900,3549.61083984375
2023-02-06,BBRI,3579.565361698972,3602.031253090388,3504.679057060918,3549.61083984375,141366300,3557.099853515625
2023-02-07,BBRI,3549.6112222450656,3587.054378597862,3534.6339597039478,3557.099853515625,140923100,3587.05419921875
2023-02-08,BBRI,3527.1451520501696,3587.05419921875,3527.1451520501696,3587.05419921875,168599500,3602.03125
2023-02-09,BBRI,3587.053989085239,3624.497141372141,3572.076728170478,3602.03125,177400700,3639.47412109375
2023-02-10,BBRI,3624.4968613361625,3654.4513808513375,3572.0764521846068,3639.47412109375,181146600,3594.54296875
2023-02-13,BBRI,3669.429280598958,3669.429280598958,3594.54296875,3594.54296875,144569400,3646.963623046875
2023-02-14,BBRI,3609.520464699371,3646.963623046875,3602.0318330298705,3646.963623046875,120995200,3646.963623046875
2023-02-15,BBRI,3661.9408863858766,3661.9408863858766,3602.0318330298705,3646.963623046875,84568100,3646.963623046875
2023-02-16,BBRI,3661.9408863858766,3661.9408863858766,3631.986359707874,3646.963623046875,69966200,3654.45166015625
