date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-05-24,BBCA,1,3.0,3.0,1,0,0
2023-05-25,BBCA,5,0.43333333333333324,2.166666666666666,4,0,1
2023-05-29,BBCA,4,-1.375,-5.5,1,1,2
2023-05-30,BBCA,3,1.95,5.85,3,0,0
2023-06-01,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2023-06-05,BBCA,1,4.0,4.0,1,0,0
2023-06-06,BBCA,3,-0.05555555555555556,-0.16666666666666669,2,0,1
2023-06-07,BBCA,2,0.8333333333333333,1.6666666666666665,2,0,0
2023-06-11,BBCA,1,1.0,1.0,1,0,0
2023-06-13,BBCA,1,2.0,2.0,1,0,0
2023-06-14,BBCA,2,1.75,3.5,2,0,0
2023-06-16,BBCA,2,1.0,2.0,1,1,0
2023-06-19,BBCA,1,1.25,1.25,1,0,0
2023-06-21,BBCA,1,0.0,0.0,0,1,0
2023-06-22,BBCA,3,1.5833333333333333,4.75,2,1,0
2023-06-23,BBCA,2,0.75,1.5,2,0,0
2023-06-25,BBCA,1,1.6,1.6,1,0,0
2023-06-27,BBCA,1,0.0,0.0,0,1,0
2023-06-30,BBCA,1,-0.5,-0.5,0,0,1
2023-07-02,BBCA,1,-0.5,-0.5,0,0,1
2023-07-04,BBCA,2,2.5,5.0,2,0,0
2023-07-05,BBCA,1,4.0,4.0,1,0,0
2023-07-09,BBCA,1,0.0,0.0,0,1,0
2023-07-10,BBCA,1,-1.0,-1.0,0,0,1
2023-07-11,BBCA,1,2.0,2.0,1,0,0
2023-07-12,BBCA,1,-3.0,-3.0,0,0,1
2023-07-13,BBCA,3,2.3333333333333335,7.0,2,1,0
2023-07-14,BBCA,2,2.25,4.5,2,0,0
2023-07-18,BBCA,1,-3.0,-3.0,0,0,1
2023-07-20,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2023-07-21,BBCA,1,-0.5,-0.5,0,0,1
2023-07-24,BBCA,3,1.0833333333333333,3.25,2,1,0
2023-07-25,BBCA,1,3.3333333333333335,3.3333333333333335,1,0,0
2023-07-26,BBCA,2,1.1,2.2,2,0,0
2023-07-27,BBCA,2,0.25,0.5,1,1,0
2023-07-28,BBCA,1,-1.5,-1.5,0,0,1
2023-07-30,BBCA,1,2.0,2.0,1,0,0
2023-08-01,BBCA,2,0.25,0.5,1,0,1
2023-08-03,BBCA,3,-1.4444444444444444,-4.333333333333333,1,0,2
2023-08-04,BBCA,4,0.675,2.7,2,0,2
2023-08-07,BBCA,2,2.0,4.0,1,1,0
2023-08-08,BBCA,3,1.0555555555555556,3.166666666666667,2,0,1
2023-08-09,BBCA,4,1.125,4.5,2,1,1
2023-08-10,BBCA,2,0.0,0.0,0,2,0
2023-08-11,BBCA,1,2.5,2.5,1,0,0
2023-08-14,BBCA,1,0.0,0.0,0,1,0
2023-08-15,BBCA,1,0.0,0.0,0,1,0
2023-08-16,BBCA,1,3.0,3.0,1,0,0
2023-08-17,BBCA,1,2.5,2.5,1,0,0
2023-08-21,BBCA,2,2.25,4.5,2,0,0
2023-08-22,BBCA,4,0.16666666666666663,0.6666666666666665,2,1,1
2023-08-23,BBCA,2,3.25,6.5,2,0,0
2023-08-24,BBCA,2,1.5,3.0,1,1,0
2023-08-25,BBCA,3,1.4166666666666667,4.25,2,0,1
2023-08-29,BBCA,1,1.0,1.0,1,0,0
2023-08-31,BBCA,2,-1.1666666666666667,-2.3333333333333335,1,0,1
2023-09-04,BBCA,2,-0.8333333333333333,-1.6666666666666665,1,0,1
2023-09-05,BBCA,2,1.25,2.5,2,0,0
2023-09-07,BBCA,1,-2.0,-2.0,0,0,1
2023-09-08,BBCA,2,0.0,0.0,1,0,1
2023-09-11,BBCA,2,2.0,4.0,1,1,0
2023-09-12,BBCA,2,0.25,0.5,1,1,0
2023-09-13,BBCA,1,4.0,4.0,1,0,0
2023-09-14,BBCA,2,0.5,1.0,2,0,0
2023-09-15,BBCA,1,-2.0,-2.0,0,0,1
