date,stock,open,high,low,close,volume,target_close_h1
2023-01-02,BBCA,7514.265389425712,7536.172868695175,7448.542951617324,7492.35791015625,10653900,7492.35791015625
2023-01-03,BBCA,7492.357910156249,7536.172868695175,7470.450430886787,7492.35791015625,27399100,7317.09814453125
2023-01-04,BBCA,7470.450500853762,7514.26545980305,7317.09814453125,7317.09814453125,90918800,7229.46826171875
2023-01-05,BBCA,7317.098180042613,7339.005659623579,7141.838343394886,7229.46826171875,128838500,7273.283203125
2023-01-06,BBCA,7098.023366905121,7295.190682652485,7098.023366905121,7273.283203125,69286600,7404.72705078125
2023-01-09,BBCA,7295.189668373244,7404.72705078125,7295.189668373244,7404.72705078125,86916900,7163.7451171875
2023-01-10,BBCA,7360.912413990825,7382.819891413417,7141.837639764908,7163.7451171875,101759100,7119.9306640625
2023-01-11,BBCA,7054.208227163461,7141.8381430288455,7010.393269230769,7119.9306640625,96069100,7163.7451171875
2023-01-12,BBCA,7141.837639764908,7251.375026877867,7119.930162342316,7163.7451171875,103804600,7054.2080078125
2023-01-13,BBCA,7141.837920953028,7163.74539923816,7032.300529527368,7054.2080078125,119748200,7141.83740234375
2023-01-16,BBCA,7054.207495566527,7185.652355732363,7054.207495566527,7141.83740234375,105710700,7295.18994140625
2023-01-17,BBCA,7163.745077597128,7339.004896009291,7141.837600295608,7295.18994140625,88695900,7273.283203125
2023-01-18,BBCA,7185.653285015061,7295.190682652485,7163.745805487576,7273.283203125,96814600,7295.18994140625
2023-01-19,BBCA,7317.09741870777,7317.09741870777,7229.467509501689,7295.18994140625,66391800,7273.283203125
2023-01-20,BBCA,7251.375723597515,7295.190682652485,7229.468244070031,7273.283203125,96859500,7207.56005859375
2023-01-24,BBCA,7273.282490738981,7317.097445502469,7207.56005859375,7207.56005859375,42474500,7185.65234375
2023-01-25,BBCA,7273.282250381098,7273.282250381098,7185.65234375,7185.65234375,66124500,7426.634765625
2023-01-26,BBCA,7207.559993777655,7426.634765625,7207.559993777655,7426.634765625,77582300,7623.802734375
2023-01-27,BBCA,7623.802734375,7755.247609105604,7492.357859644397,7623.802734375,196804700,7623.802734375
2023-01-30,BBCA,7645.710213496768,7689.5251717403025,7514.265338766164,7623.802734375,68544300,7426.634765625
2023-01-31,BBCA,7558.079628733407,7601.894583102876,7426.634765625,7426.634765625,200589000,7448.54150390625
2023-02-01,BBCA,7514.263928940716,7514.263928940716,7404.726553883272,7448.54150390625,77396200,7404.72705078125
2023-02-02,BBCA,7382.819574299649,7470.449480226054,7360.912097818047,7404.72705078125,99109500,7623.802734375
2023-02-03,BBCA,7492.357859644397,7623.802734375,7448.542901400862,7623.802734375,71716700,7645.70947265625
2023-02-06,BBCA,7667.616949655266,7667.616949655266,7579.987041659205,7645.70947265625,117757700,7755.24609375
2023-02-07,BBCA,7689.523669226695,7755.24609375,7667.616194385593,7755.24609375,116014700,7733.34033203125
2023-02-08,BBCA,7733.34033203125,7755.247811725389,7711.4328523371105,7733.34033203125,54495500,7799.0625
2023-02-09,BBCA,7733.340063202248,7799.0625,7711.432584269663,7799.0625,72381700,7733.34033203125
2023-02-10,BBCA,7777.155291419529,7799.062771113668,7623.802933560552,7733.34033203125,62060900,7777.15478515625
2023-02-13,BBCA,7777.15478515625,7799.062263424295,7689.524872084066,7777.15478515625,63775000,7842.87646484375
2023-02-14,BBCA,7755.246560208624,7842.87646484375,7733.339084049843,7842.87646484375,81678200,7777.15478515625
2023-02-15,BBCA,7777.15478515625,7799.062263424295,7667.617393816021,7777.15478515625,38037000,7623.802734375
2023-02-16,BBCA,7733.340129983837,7755.247609105604,7623.802734375,7623.802734375,66040400,7645.70947265625
2023-02-17,BBCA,7689.52442665428,7755.246857651326,7645.70947265625,7645.70947265625,43588900,7667.6171875
2023-02-20,BBCA,7645.709709821429,7733.339620535715,7623.802232142858,7667.6171875,40077000,7623.802734375
2023-02-21,BBCA,7689.5251717403025,7711.43265086207,7623.802734375,7623.802734375,25390500,7601.89453125
2023-02-22,BBCA,7623.802008285303,7667.616962355908,7558.079577179395,7601.89453125,38671900,7645.70947265625
2023-02-23,BBCA,7558.07956466019,7667.616949655266,7558.07956466019,7645.70947265625,53412300,7601.89453125
2023-02-24,BBCA,7689.524439391211,7755.246870497119,7601.89453125,7601.89453125,44123400,7689.52490234375
2023-02-27,BBCA,7601.894988926727,7689.524902343749,7579.987510572471,7689.52490234375,59983900,7667.6171875
2023-02-28,BBCA,7689.524665178572,7689.524665178572,7601.894754464286,7667.6171875,106349400,7536.1728515625
2023-03-01,BBCA,7645.710247660791,7667.61772688045,7536.1728515625,7536.1728515625,67034700,7558.08056640625
2023-03-02,BBCA,7536.173086503623,7623.803006114131,7536.173086503623,7558.08056640625,56672000,7426.634765625
2023-03-03,BBCA,7579.987105918141,7601.894583102876,7426.634765625,7426.634765625,95376900,7360.9130859375
2023-03-06,BBCA,7492.357962472098,7492.357962472098,7360.9130859375,7360.9130859375,92652000,7382.81982421875
2023-03-07,BBCA,7317.097392549147,7426.634778665152,7317.097392549147,7382.81982421875,106115600,7514.26513671875
2023-03-08,BBCA,7360.912786989796,7514.26513671875,7360.912786989796,7514.26513671875,79350900,7514.26513671875
2023-03-09,BBCA,7579.987572316872,7579.987572316872,7492.357658186042,7514.26513671875,54201400,7404.72705078125
2023-03-10,BBCA,7448.542003744453,7492.356956707656,7404.72705078125,7404.72705078125,59580100,7492.35791015625
2023-03-13,BBCA,7404.727993078399,7558.080347964637,7404.727993078399,7492.35791015625,82077700,7295.18994140625
2023-03-14,BBCA,7382.819850612331,7426.634805215372,7295.18994140625,7295.18994140625,90495300,7295.18994140625
2023-03-15,BBCA,7404.727327913852,7426.634805215372,7295.18994140625,7295.18994140625,86747400,7273.283203125
2023-03-16,BBCA,7273.283203125,7317.09816217997,7229.468244070031,7273.283203125,105894000,7339.0048828125
2023-03-17,BBCA,7339.0048828125,7404.72731459888,7295.189928288246,7339.0048828125,198558600,7360.9130859375
2023-03-20,BBCA,7360.9130859375,7426.6355242047985,7339.005606515067,7360.9130859375,37277900,7448.54150390625
2023-03-21,BBCA,7360.911603860293,7448.54150390625,7339.004128848805,7448.54150390625,91617400,7733.34033203125
2023-03-24,BBCA,7623.802933560552,7733.34033203125,7558.080494478133,7733.34033203125,145603600,7623.802734375
2023-03-27,BBCA,7733.340129983837,7733.340129983837,7623.802734375,7623.802734375,110692800,7601.89453125
2023-03-28,BBCA,7711.431916426513,7711.431916426513,7601.89453125,7601.89453125,98296600,7865.5703125
2023-03-29,BBCA,7753.84346147017,7865.5703125,7709.152721058238,7865.5703125,101068200,7887.91552734375
2023-03-30,BBCA,7954.951636641289,7954.951636641289,7865.570157577904,7887.91552734375,118912100,7820.87939453125
2023-03-31,BBCA,7887.915503627232,7910.260873325893,7798.534024832589,7820.87939453125,97146900,7865.5703125
