date,stock,open,high,low,close,volume,target_close_h1
2023-01-02,BBRI,3631.2566108468623,3638.652245492172,3564.6958990390785,3601.674072265625,100200100,3586.882568359375
2023-01-03,BBRI,3572.0913000362434,3623.860739167204,3572.0913000362434,3586.882568359375,95136500,3527.717529296875
2023-01-04,BBRI,3586.8826031634894,3586.8826031634894,3527.717529296875,3527.717529296875,188071000,3431.574462890625
2023-01-05,BBRI,3512.926443691912,3520.32207831021,3379.8050205625336,3431.574462890625,292142000,3416.783203125
2023-01-06,BBRI,3365.013760653409,3431.5744724025976,3365.013760653409,3416.783203125,175932000,3394.596435546875
2023-01-09,BBRI,3387.200800611043,3431.574610226035,3365.013895803548,3394.596435546875,166164900,3317.463623046875
2023-01-10,BBRI,3407.327197486068,3422.3044598926003,3302.486360640344,3317.463623046875,282510000,3280.0205078125
2023-01-11,BBRI,3302.4864017016266,3317.463664294378,3265.0432452197488,3280.0205078125,211610100,3369.883544921875
2023-01-12,BBRI,3354.906284722222,3384.860805121528,3302.4858740234376,3369.883544921875,210887800,3354.906494140625
2023-01-13,BBRI,3377.37238584246,3392.349646977016,3309.974710736956,3354.906494140625,134592100,3384.861083984375
2023-01-16,BBRI,3317.463407533359,3392.3497147011544,3309.974776816579,3384.861083984375,172170900,3414.815673828125
2023-01-17,BBRI,3384.8611503734924,3429.792935555441,3377.372519509834,3414.815673828125,150577400,3444.77001953125
2023-01-18,BBRI,3414.8154976222827,3459.7472804857334,3414.8154976222827,3444.77001953125,178026000,3452.2587890625
2023-01-19,BBRI,3437.2815275047456,3467.236050620256,3429.792896725868,3452.2587890625,117204100,3482.213623046875
2023-01-20,BBRI,3467.23636015205,3497.1908859417003,3459.747728704637,3482.213623046875,116038300,3459.74755859375
2023-01-24,BBRI,3489.702082910579,3504.6793450689934,3437.281665356128,3459.74755859375,81964700,3414.815673828125
2023-01-25,BBRI,3459.747459010074,3459.747459010074,3407.3270429644667,3414.815673828125,84009300,3437.281982421875
2023-01-26,BBRI,3414.816087111928,3459.747877731821,3407.3274553419456,3437.281982421875,113840400,3474.724609375
2023-01-27,BBRI,3444.770086880388,3504.6791318696123,3444.770086880388,3474.724609375,178282600,3452.2587890625
2023-01-30,BBRI,3482.21331217801,3504.679204514642,3422.3042659469907,3452.2587890625,185972400,3429.793212890625
2023-01-31,BBRI,3452.259107298205,3459.747738767399,3422.3045814214315,3429.793212890625,280039200,3504.67919921875
2023-02-01,BBRI,3467.236045380943,3512.1678299863115,3459.7474146133814,3504.67919921875,181849300,3444.77001953125
2023-02-02,BBRI,3482.213171917459,3504.6790633491846,3444.77001953125,3444.77001953125,145413400,3557.099609375
2023-02-03,BBRI,3482.213301809211,3579.565501644737,3467.236040296053,3557.099609375,198479900,3549.611083984375
2023-02-06,BBRI,3579.5656078998545,3602.0315008364646,3504.679298111155,3549.611083984375,141366300,3557.099609375
2023-02-07,BBRI,3549.610978618421,3587.054132401316,3534.633717105264,3557.099609375,140923100,3587.0537109375
2023-02-08,BBRI,3527.14467192393,3587.0537109375,3527.14467192393,3587.0537109375,168599500,3602.031494140625
2023-02-09,BBRI,3587.0542322107262,3624.497387035473,3572.076970280828,3602.031494140625,177400700,3639.474365234375
2023-02-10,BBRI,3624.4971044720937,3654.4516259966567,3572.076691804109,3639.474365234375,181146600,3594.54248046875
2023-02-13,BBRI,3669.428782145182,3669.428782145182,3594.54248046875,3594.54248046875,144569400,3646.963623046875
2023-02-14,BBRI,3609.520464699371,3646.963623046875,3602.0318330298705,3646.963623046875,120995200,3646.963623046875
2023-02-15,BBRI,3661.9408863858766,3661.9408863858766,3602.0318330298705,3646.963623046875,84568100,3646.963623046875
2023-02-16,BBRI,3661.9408863858766,3661.9408863858766,3631.986359707874,3646.963623046875,69966200,3654.45166015625
2023-02-17,BBRI,3661.9402906073897,3661.9402906073897,3617.0085079005503,3654.45166015625,104019300,3654.45166015625
2023-02-20,BBRI,3669.428921058529,3669.428921058529,3624.4971383516895,3654.45166015625,88432500,3609.519775390625
2023-02-21,BBRI,3654.451556827023,3654.451556827023,3609.519775390625,3609.519775390625,59319100,3564.587890625
2023-02-22,BBRI,3587.053780691964,3602.031040736608,3542.122000558036,3564.587890625,107327900,3594.54248046875
2023-02-23,BBRI,3602.031110636393,3602.031110636393,3542.122069295247,3594.54248046875,139144500,3564.587890625
2023-02-24,BBRI,3594.542410714286,3624.496930803572,3564.587890625,3564.587890625,46409300,3602.031494140625
2023-02-27,BBRI,3579.565601245777,3602.031494140625,3564.5883393158783,3602.031494140625,89918800,3497.190673828125
2023-02-28,BBRI,3564.5883527669966,3587.054245746621,3497.190673828125,3497.190673828125,273125500,3534.633544921875
