date,stock,open,high,low,close,volume
2023-01-02,BBRI,3631.2566108468623,3638.6522454921715,3564.6958990390785,3601.674072265625,100200100
2023-01-03,BBRI,3572.0915431701033,3623.8609858247423,3572.0915431701033,3586.8828125,95136500
2023-01-04,BBRI,3586.8826031634894,3586.8826031634894,3527.717529296875,3527.717529296875,188071000
2023-01-05,BBRI,3512.926693620353,3520.322328764817,3379.805261020003,3431.57470703125,292142000
2023-01-06,BBRI,3365.013760653409,3431.5744724025976,3365.013760653409,3416.783203125,175932000
2023-01-09,BBRI,3387.200800611043,3431.574610226035,3365.0138958035473,3394.596435546875,166164900
2023-01-10,BBRI,3407.326946732153,3422.30420803647,3302.4861176019326,3317.46337890625,282510000
2023-01-11,BBRI,3302.4861558888056,3317.4634173667596,3265.0430021939214,3280.020263671875,211610100
2023-01-12,BBRI,3354.906770833333,3384.861295572917,3302.4863525390624,3369.884033203125,210887800
2023-01-13,BBRI,3377.3723858424596,3392.3496469770157,3309.974710736956,3354.906494140625,134592100
2023-01-16,BBRI,3317.4636468127765,3392.349959381914,3309.975015555863,3384.861328125,172170900
2023-01-17,BBRI,3384.861392372533,3429.7931807668588,3377.3727609734788,3414.81591796875,150577400
2023-01-18,BBRI,3414.8154976222827,3459.7472804857334,3414.8154976222827,3444.77001953125,178026000
2023-01-19,BBRI,3437.2815275047456,3467.2360506202554,3429.792896725868,3452.2587890625,117204100
2023-01-20,BBRI,3467.236117061492,3497.1906407510082,3459.747486139113,3482.21337890625,116038300
2023-01-24,BBRI,3489.702082910579,3504.6793450689934,3437.281665356128,3459.74755859375,81964700
2023-01-25,BBRI,3459.747706363076,3459.747706363076,3407.327286569696,3414.81591796875,84009300
2023-01-26,BBRI,3414.8158445669937,3459.7476319955067,3407.3272133289083,3437.28173828125,113840400
2023-01-27,BBRI,3444.7703289163524,3504.679378114897,3444.7703289163524,3474.724853515625,178282600
2023-01-30,BBRI,3482.21331217801,3504.679204514642,3422.3042659469907,3452.2587890625,185972400
2023-01-31,BBRI,3452.258861558406,3459.7474924945413,3422.3043378138645,3429.79296875,280039200
2023-02-01,BBRI,3467.236045380943,3512.1678299863115,3459.7474146133814,3504.67919921875,181849300
2023-02-02,BBRI,3482.213171917459,3504.6790633491846,3444.77001953125,3444.77001953125,145413400
2023-02-03,BBRI,3482.213301809211,3579.565501644737,3467.236040296053,3557.099609375,198479900
2023-02-06,BBRI,3579.5653616989716,3602.031253090388,3504.679057060918,3549.61083984375,141366300
2023-02-07,BBRI,3549.610978618421,3587.054132401316,3534.6337171052633,3557.099609375,140923100
2023-02-08,BBRI,3527.1453921132893,3587.054443359375,3527.1453921132893,3587.054443359375,168599500
2023-02-09,BBRI,3587.053989085239,3624.4971413721414,3572.076728170478,3602.03125,177400700
2023-02-10,BBRI,3624.497590743956,3654.4521162872943,3572.0771710431136,3639.474853515625,181146600
2023-02-13,BBRI,3669.4297790527344,3669.4297790527344,3594.54345703125,3594.54345703125,144569400
2023-02-14,BBRI,3609.520223065323,3646.96337890625,3602.031591897138,3646.96337890625,120995200
2023-02-15,BBRI,3661.9406412426206,3661.9406412426206,3602.031591897138,3646.96337890625,84568100
2023-02-16,BBRI,3661.9406412426206,3661.9406412426206,3631.9861165698794,3646.96337890625,69966200
2023-02-17,BBRI,3661.9402906073897,3661.9402906073897,3617.0085079005503,3654.45166015625,104019300
2023-02-20,BBRI,3669.4289210585293,3669.4289210585293,3624.4971383516904,3654.45166015625,88432500
2023-02-21,BBRI,3654.451804006743,3654.451804006743,3609.52001953125,3609.52001953125,59319100
2023-02-22,BBRI,3587.054026371291,3602.0312874417345,3542.1222431599595,3564.588134765625,107327900
2023-02-23,BBRI,3602.0320892333984,3602.0320892333984,3542.123031616211,3594.54345703125,139144500
2023-02-24,BBRI,3594.542656906513,3624.4971790474006,3564.5881347656255,3564.588134765625,46409300
2023-02-27,BBRI,3579.5653586278586,3602.03125,3564.588097713098,3602.03125,89918800
2023-02-28,BBRI,3564.5881039213064,3587.053995332575,3497.1904296875,3497.1904296875,273125500
2023-03-01,BBRI,3542.1224199715307,3557.099681789592,3519.6565272444386,3534.6337890625,115578600
2023-03-02,BBRI,3557.0995378693774,3579.5654296875,3534.6336460512553,3579.5654296875,59377900
2023-03-03,BBRI,3594.542656906513,3594.542656906513,3542.1222431599595,3564.588134765625,84777000
2023-03-06,BBRI,3587.054443359375,3594.5430747651358,3579.5658119536142,3587.054443359375,78292000
2023-03-07,BBRI,3572.0773799675553,3631.9864345582064,3572.0773799675553,3624.497802734375,111953700
2023-03-08,BBRI,3631.9864345582064,3631.9864345582064,3609.5205390867122,3624.497802734375,125766100
2023-03-09,BBRI,3639.474402286902,3646.963032744283,3602.03125,3602.03125,79549800
2023-03-10,BBRI,3609.52001953125,3617.0086502771655,3594.5427580394194,3609.52001953125,125140500
2023-03-13,BBRI,3602.0315269959888,3646.963313195523,3572.077002862966,3617.0087890625,106769300
2023-03-14,BBRI,3572.0770504702427,3587.0543127363653,3512.1680014057524,3527.145263671875,192444400
2023-03-15,BBRI,3564.5887736868353,3572.0774055643287,3519.656982421875,3519.656982421875,107761200
2023-03-16,BBRI,3519.656179803118,3557.0993306520877,3474.724398784355,3542.1220703125,155984500
2023-03-17,BBRI,3572.0769959741706,3669.4291992187495,3557.099733936543,3669.42919921875,267753300
2023-03-20,BBRI,3624.4971383516904,3654.4516601562495,3609.5198774494106,3654.45166015625,113829400
2023-03-21,BBRI,3646.9633061623085,3684.4064612563775,3624.497413105867,3669.42919921875,214639300
2023-03-24,BBRI,3733.265119828518,3788.2816584365173,3709.6866032822327,3748.984130859375,266103900
2023-03-27,BBRI,3733.2650228894713,3764.7030441348566,3709.6865069554324,3725.405517578125,144925200
2023-03-28,BBRI,3725.4056143130892,3756.8436363748033,3725.4056143130892,3748.984130859375,105217100
2023-03-29,BBRI,3772.56237006237,3788.28137993763,3748.9838552494803,3780.421875,141800500
2023-03-30,BBRI,3780.422170024671,3780.422170024671,3725.4056311677627,3733.26513671875,98847200
2023-03-31,BBRI,3717.5458984375,3733.2649085788844,3701.826888296115,3717.5458984375,161561800
2023-04-03,BBRI,3748.984712219238,3772.563232421875,3741.125205485026,3772.563232421875,133511700
2023-04-04,BBRI,3772.562726919087,3788.28173828125,3741.1247041947613,3788.28173828125,88097800
2023-04-05,BBRI,3780.4223455899005,3835.438887001812,3772.5628396739135,3796.141357421875,119316500
2023-04-06,BBRI,3819.7202340118156,3819.7202340118156,3788.2822073944344,3804.001220703125,88012300
2023-04-10,BBRI,3819.719970703125,3819.719970703125,3788.2819462528932,3819.719970703125,58886800
2023-04-11,BBRI,3819.7194664126537,3843.297981637423,3796.140951187884,3835.4384765625,67275600
2023-04-12,BBRI,3890.4548493360167,3890.4548493360167,3843.2978208592162,3874.73583984375,194839900
2023-04-13,BBRI,3890.455660532756,3929.753192457329,3874.7366477629266,3914.0341796875,141279800
2023-04-14,BBRI,3969.0506970635774,4008.348228717672,3929.7531654094823,3988.699462890625,190097200
2023-04-17,BBRI,3988.698860122589,3988.698860122589,3898.314550976954,3921.89306640625,121231300
2023-04-18,BBRI,3921.8930989583337,3949.4013671875005,3890.4550781250005,3890.455078125,95747700
2023-04-26,BBRI,4047.645182291667,4047.645182291667,3874.7360677083334,3949.4013671875,273336000
2023-04-27,BBRI,3921.8931778102246,4047.645263671875,3921.8931778102246,4047.645263671875,125947200
2023-04-28,BBRI,4067.293697581572,4145.888744877834,4008.347412109375,4008.347412109375,251912000
2023-05-02,BBRI,4067.294027087758,4067.294027087758,3969.0502100083436,4047.645263671875,84246100
2023-05-03,BBRI,4106.591221229703,4106.591221229703,3969.049888461244,4008.347412109375,183524700
2023-05-04,BBRI,4047.645263671875,4067.294027087758,3988.6989734242266,4047.645263671875,140482000
2023-05-05,BBRI,4106.59130859375,4126.2400708358255,4027.9962596254486,4106.59130859375,182599600
2023-05-08,BBRI,4126.239983053769,4126.239983053769,3969.049888461244,4008.347412109375,107804200
2023-05-09,BBRI,3969.050050019055,4027.996337890625,3949.4012873951983,4027.996337890625,102987300
2023-05-10,BBRI,3988.6989734242266,4047.645263671875,3969.0502100083436,4047.645263671875,108369600
2023-05-11,BBRI,4067.294027087758,4067.294027087758,4008.3477368401095,4047.645263671875,85618800
2023-05-12,BBRI,4008.3477368401095,4067.294027087758,4008.3477368401095,4047.645263671875,92625800
2023-05-15,BBRI,4047.645263671875,4067.294027087758,3949.4014465924606,4047.645263671875,163732600
2023-05-16,BBRI,4067.2941072904146,4086.94287109375,4008.3478158804087,4086.94287109375,73611200
2023-05-17,BBRI,4126.240398700421,4126.240398700421,4067.2941072904146,4086.94287109375,115834500
2023-05-19,BBRI,4106.591471354167,4283.430338541667,4086.9427083333335,4244.1328125,185672200
2023-05-22,BBRI,4165.5379194268435,4322.728029593894,4165.5379194268435,4263.78173828125,162655900
2023-05-23,BBRI,4303.079263583097,4401.323082386363,4303.079263583097,4322.72802734375,255251600
2023-05-24,BBRI,4342.376467023577,4401.32275390625,4283.430180140904,4401.32275390625,187436100
2023-05-25,BBRI,4322.727864583334,4381.674153645834,4283.430338541667,4303.0791015625,224391900
2023-05-26,BBRI,4263.78141784668,4401.32275390625,4263.78141784668,4401.32275390625,154003100
2023-05-29,BBRI,4401.322916666667,4420.9716796875,4303.0791015625,4362.025390625,125049100
2023-05-30,BBRI,4322.72802734375,4401.323082386363,4322.72802734375,4322.72802734375,67363200
2023-05-31,BBRI,4381.673828125,4381.673828125,4224.48373563621,4381.673828125,898453700
2023-06-05,BBRI,4401.3230846774195,4401.3230846774195,4263.78173828125,4263.78173828125,255472600
2023-06-06,BBRI,4244.1331350344035,4322.7281930905965,4204.835606006307,4283.4306640625,92019300
2023-06-07,BBRI,4303.0791015625,4303.0791015625,4204.835286458334,4244.1328125,150377000
2023-06-08,BBRI,4224.484049479167,4303.0791015625,4204.835286458334,4303.0791015625,92794100
2023-06-09,BBRI,4263.78173828125,4283.4305020521315,4224.484210739487,4263.78173828125,77251000
2023-06-12,BBRI,4244.1328125,4244.1328125,4224.484049479167,4244.1328125,92314200
2023-06-13,BBRI,4244.1328125,4362.025390625,4244.1328125,4362.025390625,108831400
2023-06-14,BBRI,4381.674153645834,4381.674153645834,4303.0791015625,4362.025390625,79137600
2023-06-15,BBRI,4303.079424137443,4342.376953125,4283.430659643665,4342.376953125,74388400
2023-06-16,BBRI,4303.0791015625,4362.025390625,4244.1328125,4362.025390625,189062600
2023-06-19,BBRI,4322.728188631222,4342.376953125,4283.430659643665,4342.376953125,55144200
2023-06-20,BBRI,4303.0791015625,4362.025390625,4303.0791015625,4362.025390625,102926800
2023-06-21,BBRI,4322.727543441704,4381.673828125,4322.727543441704,4381.673828125,84605400
2023-06-22,BBRI,4362.025390625,4401.322916666667,4303.0791015625,4303.0791015625,94143200
2023-06-23,BBRI,4263.781575520834,4303.0791015625,4244.1328125,4244.1328125,123350300
2023-06-26,BBRI,4263.781899548451,4303.079428576548,4224.484370520356,4283.4306640625,85472100
2023-06-27,BBRI,4283.4305020521315,4322.728029593894,4263.78173828125,4263.78173828125,110716500
2023-07-03,BBRI,4322.727864583334,4362.025390625,4283.430338541667,4303.0791015625,168559800
2023-07-04,BBRI,4322.7281930905965,4322.7281930905965,4263.781899548451,4283.4306640625,94462600
2023-07-05,BBRI,4244.1331350344035,4283.4306640625,4244.1331350344035,4283.4306640625,109632800
2023-07-06,BBRI,4283.4305020521315,4303.079265823013,4244.1329745103685,4263.78173828125,109446200
2023-07-07,BBRI,4244.133139534883,4263.781904069767,4224.484375,4224.484375,114043800
2023-07-10,BBRI,4263.781575520834,4322.727864583334,4244.1328125,4244.1328125,78972100
2023-07-11,BBRI,4224.484210739487,4283.4305020521315,4224.484210739487,4263.78173828125,122094700
2023-07-12,BBRI,4283.4306640625,4303.079428576548,4263.781899548451,4283.4306640625,104993700
2023-07-13,BBRI,4263.781899548451,4303.079428576548,4263.781899548451,4283.4306640625,134905700
2023-07-14,BBRI,4283.430659643665,4342.376953125,4263.781895149887,4342.376953125,127814200
2023-07-17,BBRI,4362.025066563901,4420.971351247197,4342.376305002803,4381.673828125,166951300
2023-07-18,BBRI,4420.9716796875,4479.91796875,4401.322916666667,4420.9716796875,120810300
2023-07-20,BBRI,4381.674153645834,4440.620442708334,4362.025390625,4420.9716796875,111117300
2023-07-21,BBRI,4401.322916666667,4420.9716796875,4381.674153645834,4420.9716796875,63094600
2023-07-24,BBRI,4401.32275390625,4440.620278494699,4401.32275390625,4401.32275390625,62962500
2023-07-25,BBRI,4420.971355607024,4479.917640348451,4420.971355607024,4440.6201171875,111248100
2023-07-26,BBRI,4479.918786137115,4479.918786137115,4440.621252925385,4460.27001953125,76200300
2023-07-27,BBRI,4460.268878767975,4519.215163509402,4440.6201171875,4440.6201171875,109859200
2023-07-28,BBRI,4420.9716796875,4479.91796875,4420.9716796875,4479.91796875,74036700
2023-07-31,BBRI,4479.917640348451,4479.917640348451,4440.6201171875,4440.6201171875,186727400
2023-08-01,BBRI,4440.620442708334,4519.215494791667,4440.620442708334,4479.91796875,100137500
2023-08-02,BBRI,4440.620442708334,4499.566731770834,4440.620442708334,4479.91796875,90611300
2023-08-03,BBRI,4460.269205729167,4519.215494791667,4440.620442708334,4479.91796875,82775000
2023-08-04,BBRI,4479.917635930493,4499.5663974915915,4381.673828125,4381.673828125,150738500
2023-08-07,BBRI,4401.322916666667,4499.566731770834,4381.674153645834,4479.91796875,88104900
2023-08-08,BBRI,4479.91796875,4519.215494791667,4401.322916666667,4420.9716796875,89189600
2023-08-09,BBRI,4440.620442708334,4499.566731770834,4420.9716796875,4479.91796875,91930000
2023-08-10,BBRI,4460.269205729167,4499.566731770834,4460.269205729167,4479.91796875,85474200
2023-08-11,BBRI,4460.268878767975,4479.917640348451,4440.6201171875,4440.6201171875,74321000
2023-08-14,BBRI,4440.6201171875,4460.268878767975,4381.673832446073,4440.6201171875,127358400
2023-08-15,BBRI,4440.620112808296,4460.268874369394,4381.673828125,4381.673828125,89597300
2023-08-16,BBRI,4362.025717618779,4381.674482112557,4283.430659643665,4342.376953125,188191900
2023-08-18,BBRI,4322.727543441704,4401.322589686099,4322.727543441704,4381.673828125,121561200
2023-08-21,BBRI,4362.025554865057,4381.67431862571,4322.72802734375,4322.72802734375,91640000
2023-08-22,BBRI,4322.727543441704,4420.971351247197,4322.727543441704,4381.673828125,101221500
2023-08-23,BBRI,4401.32275390625,4420.971516200474,4381.673991612026,4401.32275390625,78686900
2023-08-24,BBRI,4420.9716796875,4420.9716796875,4362.025390625,4362.025390625,74407500
2023-08-25,BBRI,4362.025229317802,4401.32275390625,4342.376467023577,4401.32275390625,65096500
2023-08-28,BBRI,4401.322916666667,4420.9716796875,4362.025390625,4362.025390625,37126600
2023-08-29,BBRI,4342.376467023577,4401.32275390625,4342.376467023577,4401.32275390625,57547200
2023-08-30,BBRI,4401.323246606335,4401.323246606335,4322.728188631222,4342.376953125,171282700
2023-08-31,BBRI,4342.376627604167,4362.025390625,4303.0791015625,4362.025390625,175088200
2023-09-01,BBRI,4401.322589686099,4401.322589686099,4342.376305002803,4381.673828125,87366100
2023-09-04,BBRI,4401.322916666667,4420.9716796875,4381.674153645834,4420.9716796875,43898200
2023-09-05,BBRI,4420.9716796875,4440.620442708334,4401.322916666667,4420.9716796875,72464300
2023-09-06,BBRI,4420.971351247197,4440.620112808296,4381.673828125,4381.673828125,106367800
2023-09-07,BBRI,4342.376957604644,4362.025722118692,4283.4306640625,4283.4306640625,157998600
2023-09-08,BBRI,4263.781245436624,4283.430006936332,4165.537437938085,4204.8349609375,243324500
2023-09-11,BBRI,4204.8354469686055,4263.78173828125,4165.5379194268435,4263.78173828125,80474100
2023-09-12,BBRI,4283.430668604651,4303.079433139535,4224.484375,4224.484375,121654400
2023-09-13,BBRI,4204.835286458334,4263.781575520834,4204.835286458334,4244.1328125,59408000
2023-09-14,BBRI,4185.186683197725,4263.78173828125,4185.186683197725,4263.78173828125,76831700
2023-09-15,BBRI,4244.133139534883,4283.430668604651,4224.484375,4224.484375,141455400
2023-09-18,BBRI,4204.835286458334,4244.1328125,4165.537760416667,4185.1865234375,61329000
2023-09-19,BBRI,4185.186845930232,4224.484375,4165.538081395349,4224.484375,50612700
2023-09-20,BBRI,4204.835610465116,4283.430668604651,4204.835610465116,4224.484375,98710100
2023-09-21,BBRI,4263.781245436624,4263.781245436624,4204.8349609375,4204.8349609375,68584900
2023-09-22,BBRI,4204.8349609375,4263.781245436624,4204.8349609375,4204.8349609375,83184100
2023-09-25,BBRI,4185.186850493809,4204.835615050118,4086.943027712264,4165.5380859375,120196700
2023-09-26,BBRI,4126.240398700421,4145.889162503756,4086.94287109375,4086.94287109375,180280600
2023-09-27,BBRI,4067.2937841095995,4165.537595319976,4067.2937841095995,4106.59130859375,119774700
2023-09-29,BBRI,4165.537595319976,4185.186357562052,4106.59130859375,4106.59130859375,140331100
2023-10-02,BBRI,4126.24072265625,4165.538253348214,4126.24072265625,4126.24072265625,81674600
2023-10-03,BBRI,4126.239910396919,4165.53743335308,4126.239910396919,4145.888671875,54462700
2023-10-04,BBRI,4126.24072265625,4145.889488002232,4086.9431919642852,4126.24072265625,121445000
2023-10-05,BBRI,4126.24072973279,4145.88949511247,4067.29443359375,4067.29443359375,116814800
